4,542,69,1
4,523,70,1
4,594,70,1
4,532,79,1
4,482,74,1
4,557,80,1
4,497,78,1
4,417,74,1
4,474,73,1
4,532,78,1
4,466,76,1
4,466,80,1
4,515,77,1
5,461,81,1
5,429,80,1
5,414,81,1
5,370,78,1
5,482,84,1
5,377,80,1
5,411,83,1
5,373,82,1
5,375,76,2
5,406,84,1
5,427,86,1
5,444,84,1
2,368,96,2
2,361,97,1
2,295,90,1
2,371,96,2
2,393,88,1
2,320,111,1
2,319,90,1
2,324,109,1
2,313,92,1
3,490,75,1
3,545,72,1
3,384,79,1
3,483,70,1
3,511,80,1
3,353,77,1
3,524,77,1
3,383,78,1
3,435,80,1
3,401,81,1
3,459,80,1
3,371,79,1
3,435,77,1
3,413,67,1
3,374,78,1
3,482,73,1
