6,236,83,2
6,279,79,2
6,272,82,2
6,235,81,2
6,247,80,2
6,223,81,2
6,279,82,2
6,224,84,2
6,298,80,2
6,223,81,2
6,265,79,2
2,299,68,1
2,345,70,2
2,345,70,2
2,304,71,2
2,265,70,2
2,275,70,2
2,260,70,2
2,271,70,2
2,413,70,2
2,303,70,2
2,292,68,2
2,360,70,2
5,335,90,2
5,305,90,2
5,285,89,2
5,302,90,2
5,258,90,2
5,256,90,2
5,315,91,2
5,345,91,2
5,328,92,2
5,358,90,2
5,336,91,2
5,296,91,2
5,381,91,2
5,289,89,2
4,295,66,2
4,315,66,2
4,303,68,2
4,283,68,2
4,277,68,2
4,296,68,2
4,311,66,2
4,343,69,2
4,324,66,2
4,300,66,2
4,348,68,2
4,329,66,2
4,317,67,2
1,266,61,2
1,246,58,2
1,266,60,2
1,264,59,2
1,279,59,2
1,319,59,2
1,284,60,2
1,272,58,2
1,297,60,2
1,298,58,2
1,323,59,2
1,280,57,2
1,325,58,2
1,261,57,2
3,296,77,2
3,355,72,2
3,468,72,2
3,279,72,2
3,328,73,2
3,293,73,2
3,395,73,2
3,323,72,2
3,328,74,2
3,306,72,2
3,311,73,2
3,306,72,2
3,300,74,2
3,320,72,2
3,361,72,2
